Index,page_url,page_text
1,https://docs.alchemy.com/reference/starknet-api-quickstart,"To use the Starknet API you'll need to create a free Alchemy account first! 📘 NOTE Please note that Starknet support is currently in private beta. Introduction Starknet is a decentralized Validity-Rollup (often referred to as ZK-Rollup). It operates as a Layer 2 network over Ethereum, enabling any app to achieve massive scale without compromising Ethereum's composability and security. What is Starknet API? The Starknet API is a collection of JSON-RPC methods that allow developers to interact with the Starknet network. By using the endpoints provided by the API, developers can access up-to-date network data and submit transactions to it. Getting Started Instructions 1. Choose a Package Manager (npm or yarn) Before you begin, you'll need to choose a package manager to manage dependencies in your project. The two most popular package managers for Node.js are npm and yarn . You can choose the one you're most comfortable with. npm To get started with npm , follow the documentation to install Node.js and npm for your operating system: https://docs.npmjs.com/downloading-and-installing-node-js-and-npm yarn To get started with yarn , follow these steps: https://classic.yarnpkg.com/lang/en/docs/install 2. Set up your project (npm or yarn) Let's start by setting up a simple Node.js project. Open your terminal and run the following commands: npm yarn mkdir alchemy-starknet-api cd alchemy-starknet-api npm init --yes mkdir alchemy-starknet-api cd alchemy-starknet-api yarn init --yes This will create a new directory called alchemy-starknet-api and initialize a new Node.js project in it."
2,https://docs.alchemy.com/reference/starknet-api-quickstart,"3. Make Your First Request To make requests to the Starknet API, you'll need to use an HTTP client. In this guide, we'll use Axios, a popular HTTP client for Node.js. Install Axios as a dependency in your project with the command below: npm yarn npm install axios yarn add axios Next, let's create a script that will make a request to the starknet_blockNumber JSON-RPC method on Starknet. Create a new file called index.js in your project directory and add the following code: index.js const axios = require('axios'); const apiKey = 'YOUR_API_KEY'; // Replace with your Alchemy API key const url = `https://starknet-mainnet.g.alchemy.com/v2/${apiKey}`; const payload = { jsonrpc: '2.0', id: 1, method: 'starknet_blockNumber', params: [] }; axios.post(url, payload) .then(response => { console.log('Block Number:', response.data.result); }) .catch(error => { console.error(error); }); Remember to replace YOUR_API_KEY with your actual Alchemy API key that you can get from your Alchemy dashboard . 4. Run Script To run the script and make the request to the Starknet API, execute the following command in your terminal: Shell node index.js As a result, should see the current block number on Starknet printed to the console! Shell Block Number: 42390 Next Steps Congratulations! You've successfully made your first request to the Starknet API using Alchemy. From here, you can explore the various JSON-RPC methods available on Starknet and start building your decentralized applications on it! ReadMe"
1,https://docs.alchemy.com/docs/sending-transactions,"Introduction In this section, you will find tutorials and resources for sending transactions on the blockchain. Transactions are a crucial aspect of the blockchain, and are used to transfer value, store data, and execute smart contracts. Tutorials The following tutorials are listed under this section: How to Send Transactions on Ethereum How to Send a Private Transaction on Ethereum How to Cancel a Transaction on Ethereum How to Check the Status of a Transaction using its Hash Updated 4 months ago ReadMe"
1,https://docs.alchemy.com/,"The web3 developer hub View API References, guides, and tutorials for Ethereum, Polygon, Optimism, Arbitrum, Solana and Astar. View docs NFT API docs... dive into resources Most popular NFT API Quickstart Easiest way to get NFT data from ownership to sales to metadata and more. Ethereum API Quickstart How to get started building on Ethereum and using the JSON-RPC API. SDK Quickstart The easiest way to connect your dApp to the blockchain using JavaScript. alchemy_pendingTransactions Subscribe to full transaction objects or hashes that are pending based on provided filters. What are payable functions in Solidity? Learn how payable functions work in Solidity. How to get all NFTs owned by an address Query all NFTs owned by a provided address in one line of code. Learn how to build in web3 Alchemy University Ethereum Developer Bootcamp and JavaScript Fundamentals Courses, for free. Create Web3 Dapp Create a full-stack dApp in ~4 mins, right from the command-line. View all tutorials Web3 tutorials for all topics: NFTs, Solidity, DeFI, transactions, and more! API references for all chains Including free Archive data on all chains and testnets. Ethereum Polygon PoS Arbitrum Optimism Solana Astar Polygon ZKEVM Starknet Use case APIs APIs built to optimize your code and make life as a developer way easier."
2,https://docs.alchemy.com/,"View all APIs NFT API Get all the NFT data you need with this suite of endpoints Transact Send transactions 7.9x faster Token API Get token valuable information to display to users Transfers API Get historical transactions for any address or contract Notify API Webhooks for transaction activity Trace API Deep insights for transaction processing Trusted by the best in the industry Community Driven Join the web3 developer community Get help with your product, meet other developers, and get access to a world-class community ReadMe"
1,https://docs.alchemy.com/discuss,"0 1 ANSWERED goerli getOwnersForToken problem. ContractAddress 0xf4910c763ed4e47a585e2d34baa9a4b611ae448c TokenID 105753309246923017705004118964412163901500988552969608451280480983076046897153 This token is owned by 0xe46A0dC2c63FF0165D96eb09C4aAf9909269B9f7. But getOwnersForToken returned nothing. This token minted using opensea. Is this only testnet problem? Could this happen on mainnet? Posted by haborym000 7 days ago 1 1 ANSWERED getnftsales-v2 api question: multiple tokenId For this endpoint <https://docs.alchemy.com/reference/getnftsales-v2> It currently accepts a single 'tokenId' parameter, can it changed to allow for multiple? Can be done if multiple tokenId's are separated with commas? Posted by Kush 8 days ago 1 1 ANSWERED Registration problem i have registration problem with google account. Showing that failed abuse check try another account or email address How can i fix this problem? Posted by Karthi c 9 days ago 1 2 ANSWERED Registration problem ! I tried registering on the site or logging in with my google e-mail address all day long. But things did not go well. No response from Discord or email. Is the company still operating? Or did you shut down the company? down the company? Posted by johann about 1 month ago 0 0 Collection Total Volume and other metadata Hello, I'm trying to get some collection metadata from alchemy, and I'm not sure if everything is retrievable via api. Metadata consists of the fields i'm seeing on a collection in opensea:"
2,https://docs.alchemy.com/discuss,"Total Volume, Floor Price, Best Offer, % listed, number of owners , % of unique owners, total supply, creator earnings % and category (like pfps, art etc) I managed to get a few of these: - `floor price`, `total supply` , by using the `/getContractMetadata` method - `number of owners`, by using `/getOwnersForCollection` - `% of unique owners` by using the `total supply` and the data from `/getOwnersForCollection` I'm not sure how to get the `Total Volume`, `Best Offer`, `% Listed`, `Creator Earnings %`, and the nft `Category` - are these obtainable somehow via the Alchemy API ? Posted by null about 1 month ago 1 2 ANSWERED Concurrent Transactions in Reinforced Transactions: Handling Nonce Clashes Do [Reinforced Transactions](https://docs.alchemy.com/reference/reinforced-transactions) support transactions sent concurrently? e.g. if I send transaction 1 and then transaction 2 (from the same sender address) before transaction 1 has been confirmed, will both be successfully confirmed or will there be nonce clashes? alchemy reinforced transactions nonce concurrent transactions Posted by Sahil about 2 months ago 1 2 ANSWERED Reinforced Transactions: ERC2771 Meta-Transactions and Trusted Forwarders Does [Reinforced Transactions](https://docs.alchemy.com/reference/reinforced-transactions) use [ERC2771](https://eips.ethereum.org/EIPS/eip-2771) meta-transactions using trusted forwarders?"
3,https://docs.alchemy.com/discuss,alchemy reinforced transactions erc2771 meta transactions Posted by Sahil about 2 months ago 1 2 ANSWERED Retrieving Old Apps After Joining a Team in Alchemy How can I retrieve my old apps once I join a team in Alchemy? alchemy accounts team Posted by Sahil about 2 months ago 1 2 ANSWERED Joining a Team with Your Alchemy Account: What to Expect What will happen if I join a team with my Alchemy account? alchemy accounts team Posted by Sahil about 2 months ago 1 2 ANSWERED Personal and Team Apps in a Single Alchemy Account Can personal apps and team apps exist in the same Alchemy account? alchemy accounts Posted by Sahil about 2 months ago FAQs Recent Unanswered 429 error account support account tier accounts address activity webhook alchemy alchemy api alchemy composer alchemy mempool alchemy sdk alchemy transact alchemy-sdk alchemy_getassettransfers archive data astar api capacity limits chains compute units concurrent transactions core cups defi enhanced api erc-20 token tutorial erc2771 erc721 error 429 eth transfers eth_getcode ethereum api events log gas estimation getassettransfers getblocknumber getcode getcontractmetadata getfloorprice getlogs getnft getnfts getnftsales getnftsforcollection getnftsforcontract getnftsforowner getnftsforowneriterator getownersforcollection getownersforcontract getprogramaccounts gettransaction gettransactionreceipt invalidatecontract ipfs gateway json-rpc meta transactions nft api nft cdn nft metadata nonce notify api polygon polygon api pricing rate limits reinforced transactions road to web3 sdk websockets endpoints smart contracts solana api solana websocket spam nfts subscription api team throughput transaction receipt api transactions transfer api transfers api video nft webhook webhooks websocket websockets ReadMe
1,https://docs.alchemy.com/reference/alchemy-sdk-quickstart,"The Alchemy SDK is the most comprehensive, stable, and powerful Javascript SDK available today to interact with the blockchain. It supports the exact same syntax and functionality of the Ethers.js AlchemyProvider and WebSocketProvider, making it a 1:1 mapping for anyone using the Ethers.js Provider. However, it adds a significant amount of improved functionality on top of Ethers, such as easy access to Alchemy’s Enhanced and NFT APIs, robust WebSockets, and quality-of life improvements such as automated retries. The SDK leverages Alchemy's hardened node infrastructure, guaranteeing best-in-class node reliability, scalability, and data correctness, and is undergoing active development by Alchemy's engineers. The SDK currently supports the following chains: Ethereum : Mainnet, Goerli Polygon : Mainnet, Mumbai Optimism : Mainnet, Goerli Arbitrum : Mainnet, Goerli Astar : Mainnet Getting started Check out the full Github repo here: github.com GitHub - alchemyplatform/alchemy-sdk-js 1. Install the SDK: NPM Yarn npm install alchemy-sdk yarn add alchemy-sdk 2. After installing the app, you can then import and use the SDK: SDK.js import { Network, Alchemy } from 'alchemy-sdk'; // Optional Config object, but defaults to demo api-key and eth-mainnet. const settings = { apiKey: 'demo', // Replace with your Alchemy API Key. network: Network. ETH_MAINNET, // Replace with your network."
2,https://docs.alchemy.com/reference/alchemy-sdk-quickstart,"}; const alchemy = new Alchemy(settings); 🚧 Creating a unique Alchemy API Key The public ""demo"" API key may be rate limited based on traffic. To create your own API key, sign up for an Alchemy account here and use the key created on your dashboard for the first app. The Alchemy object returned by new Alchemy() provides access to the Alchemy API. An optional config object can be passed in when initializing to set your API key, change the network, or specify the max number of retries. 3. Make requests using the Alchemy SDK: SDK.js import { Network, Alchemy } from 'alchemy-sdk'; // Optional Config object, but defaults to demo api-key and eth-mainnet. const settings = { apiKey: 'demo', // Replace with your Alchemy API Key. network: Network. ETH_MAINNET, // Replace with your network. }; const alchemy = new Alchemy(settings); // Access standard Ethers.js JSON-RPC node request alchemy.core.getBlockNumber().then(console.log); // Access Alchemy Enhanced API requests alchemy.core.getTokenBalances(""0x3f5CE5FBFe3E9af3971dD833D26bA9b5C936f0bE"").then(console.log); // Access the Alchemy NFT API alchemy.nft.getNftsForOwner('vitalik.eth').then(console.log); // Access WebSockets and Alchemy-specific WS methods alchemy.ws.on( { method: 'alchemy_pendingTransactions' }, res => console.log(res) ); ``` The Alchemy SDK currently supports five different namespaces, including: core : All commonly-used Ethers.js Provider methods and Alchemy Enhanced API methods nft : All Alchemy NFT API methods ws : All WebSockets methods transact : All Alchemy Transaction API methods notify : CRUD endpoints for modifying Alchemy Notify Webhooks"
